time,threshold,delta,regimes,vvix_max,n,wr,total,avg,best,worst,max_dd,mar
0945,8.5,-0.15,ALL,999,127,6.3,29060,228.82,13620,-1300,5390.0,5.39
0945,8.5,-0.15,NO_R1,999,85,5.88,16270,191.41,12620,-1300,5970.0,2.73
0945,8.5,-0.15,ALL,110,116,6.9,32420,279.48,13620,-1300,4400.0,7.37
0945,8.5,-0.15,NO_R1,110,68,7.35,21620,317.94,12620,-1300,3900.0,5.54
0945,8.5,-0.15,ALL,100,107,6.54,7380,68.97,13620,-1300,9840.0,0.75
0945,8.5,-0.15,NO_R1,100,65,4.62,-7200,-110.77,3130,-1300,7710.0,-0.93
0945,8.5,-0.175,ALL,999,126,7.14,30240,240.0,14110,-1670,6480.0,4.67
0945,8.5,-0.175,NO_R1,999,85,5.88,16200,190.59,13530,-1670,7280.0,2.23
0945,8.5,-0.175,ALL,110,115,7.83,34310,298.35,14110,-1670,5350.0,6.41
0945,8.5,-0.175,NO_R1,110,68,7.35,22650,333.09,13530,-1670,4710.0,4.81
0945,8.5,-0.175,ALL,100,104,7.69,8020,77.12,14110,-1670,11720.0,0.68
0945,8.5,-0.175,NO_R1,100,63,4.76,-8190,-130.0,4080,-1670,9160.0,-0.89
0945,8.5,-0.2,ALL,999,118,8.47,38350,325.0,15070,-1880,7830.0,4.9
0945,8.5,-0.2,NO_R1,999,85,5.88,14220,167.29,13980,-1880,8710.0,1.63
0945,8.5,-0.2,ALL,110,107,9.35,43280,404.49,15070,-1880,5990.0,7.23
0945,8.5,-0.2,NO_R1,110,68,7.35,21970,323.09,13980,-1880,5540.0,3.97
0945,8.5,-0.2,ALL,100,96,9.38,17740,184.79,15070,-1880,12540.0,1.41
0945,8.5,-0.2,NO_R1,100,63,4.76,-8860,-140.63,4540,-1880,9910.0,-0.89
0945,8.5,-0.225,ALL,999,111,9.01,33680,303.42,15550,-2370,13100.0,2.57
0945,8.5,-0.225,NO_R1,999,82,7.32,13400,163.41,14430,-2370,7700.0,1.74
0945,8.5,-0.225,ALL,110,102,9.8,37820,370.78,15550,-2370,12280.0,3.08
0945,8.5,-0.225,NO_R1,110,68,7.35,20270,298.09,14430,-2370,7400.0,2.74
0945,8.5,-0.225,ALL,100,86,11.63,20920,243.26,15550,-2370,11160.0,1.87
0945,8.5,-0.225,NO_R1,100,63,4.76,-11770,-186.83,5000,-2370,12970.0,-0.91
0945,8.5,-0.25,ALL,999,100,11.0,23100,231.0,16020,-2640,18340.0,1.26
0945,8.5,-0.25,NO_R1,999,72,8.33,880,12.22,13620,-2640,11990.0,0.07
0945,8.5,-0.25,ALL,110,96,11.46,24960,260.0,16020,-2640,17550.0,1.42
0945,8.5,-0.25,NO_R1,110,63,7.94,5490,87.14,13620,-2640,8750.0,0.63
